!SIL 1.0	SIL
<UNK> 1.0	SPN
hajazaliwa 1.0	h a j a z a l i w a
hajazungumza 1.0	h a j a z u GG u m z a
haji 1.0	h a j i
hajiamini 1.0	h a j i a m i n i
hajisikii 1.0	h a j i s i k i i
hajitambui 1.0	h a j i t a BB u i
hajiwezi 1.0	h a j i w e z i
hajj 1.0	h a j j
hajj(2) 1.0	h a j
hajj(3) 1.0	e j e j e j e
hajj(4) 1.0	h a j j i
hajjat 1.0	h a j j a t
hajjat(4) 1.0	h a j j a t i
hajji 1.0	h a j j i
hajui 1.0	h a j u i
hajulikani 1.0	h a j u l i k a n i
hajutii 1.0	h a j u t i i
haka 1.0	h a k a
hakai 1.0	h a k a i
haki 1.0	h a k i
hakieleweki 1.0	h a k i e l e w e k i
hakielimu 1.0	h a k i e l i m u
hakiendani 1.0	h a k i e DD a n i
hakifai 1.0	h a k i f a i
hakifanyi 1.0	h a k i f a n y i
hakihitaji 1.0	h a k i h i t a j i
hakihusiki 1.0	h a k i h u s i k i
hakijaanza 1.0	h a k i j a a ZZ a
hakijafahamika 1.0	h a k i j a f a h a m i k a
hakijafanya 1.0	h a k i j a f a n y a
hakijafikia 1.0	h a k i j a f i k i a
hakijajulikana 1.0	h a k i j a j u l i k a n a
hakijakamilika 1.0	h a k i j a k a m i l i k a
hakijapata 1.0	h a k i j a p a t a
hakijawa 1.0	h a k i j a w a
hakijawahi 1.0	h a k i j a w a h i
hakijaweza 1.0	h a k i j a w e z a
hakijui 1.0	h a k i j u i
hakijulikani 1.0	h a k i j u l i k a n i
hakika 1.0	h a k i k a
hakikidhi 1.0	h a k i k i LL i
hakikisha 1.0	h a k i k i SS a
hakikisheni 1.0	h a k i k i SS e n i
hakikisho 1.0	h a k i k i SS o
hakiko 1.0	h a k i k o
hakikubaliki 1.0	h a k i k u b a l i k i
hakikufanyika 1.0	h a k i k u f a n y i k a
hakikupata 1.0	h a k i k u p a t a
hakikutaka 1.0	h a k i k u t a k a
hakikutarajiwa 1.0	h a k i k u t a r a j i w a
hakikuwa 1.0	h a k i k u w a
hakikuwahi 1.0	h a k i k u w a h i
hakikuwepo 1.0	h a k i k u w e p o
hakikuweza 1.0	h a k i k u w e z a
hakilingani 1.0	h a k i l i GG a n i
hakim 1.0	h a k i m
hakim(2) 1.0	h a k i m
hakim(4) 1.0	h a k i m u
hakimiliki 1.0	h a k i m i l i k i
hakimu 1.0	h a k i m u
hakina 1.0	h a k i n a
hakionekani 1.0	h a k i o n e k a n i
hakipaswi 1.0	h a k i p a s w i
hakipewi 1.0	h a k i p e w i
hakipo 1.0	h a k i p o
hakishiriki 1.0	h a k i SS i r i k i
hakistahili 1.0	h a k i s t a h i l i
hakitaki 1.0	h a k i t a k i
hakitakiwi 1.0	h a k i t a k i w i
hakitakubali 1.0	h a k i t a k u b a l i
hakitakuwa 1.0	h a k i t a k u w a
hakitambui 1.0	h a k i t a BB u i
hakitambuliki 1.0	h a k i t a BB u l i k i
hakitasita 1.0	h a k i t a s i t a
hakitaweza 1.0	h a k i t a w e z a
hakitekelezeki 1.0	h a k i t e k e l e z e k i
hakitoi 1.0	h a k i t o i
hakitoshelezi 1.0	h a k i t o SS e l e z i
hakitoshi 1.0	h a k i t o SS i
hakitumiki 1.0	h a k i t u m i k i
hakivumiliki 1.0	h a k i v u m i l i k i
hakiwezekani 1.0	h a k i w e z e k a n i
hakiwezi 1.0	h a k i w e z i
hakizidi 1.0	h a k i z i d i
hako 1.0	h a k o
hakosi 1.0	h a k o s i
hakua 1.0	h a k u a
hakuacha 1.0	h a k u a CC a
hakuamini 1.0	h a k u a m i n i
hakuamua 1.0	h a k u a m u a
hakuanza 1.0	h a k u a ZZ a
hakuathiri 1.0	h a k u a TT i r i
hakubahatika 1.0	h a k u b a h a t i k a
hakubainisha 1.0	h a k u b a i n i SS a
hakubaki 1.0	h a k u b a k i
hakubali 1.0	h a k u b a l i
hakubaliani 1.0	h a k u b a l i a n i
hakubaliki 1.0	h a k u b a l i k i
hakuchaguliwa 1.0	h a k u CC a g u l i w a
hakucheza 1.0	h a k u CC e z a
hakuchukua 1.0	h a k u CC u k u a
hakudumu 1.0	h a k u d u m u
hakuelewa 1.0	h a k u e l e w a
hakueleweka 1.0	h a k u e l e w e k a
hakueleza 1.0	h a k u e l e z a
hakuelezea 1.0	h a k u e l e z e a
hakuelezwa 1.0	h a k u e l e z w a
hakuendani 1.0	h a k u e DD a n i
hakuendelea 1.0	h a k u e DD e l e a
hakufa 1.0	h a k u f a
hakufafanua 1.0	h a k u f a f a n u a
hakufahamika 1.0	h a k u f a h a m i k a
hakufahamu 1.0	h a k u f a h a m u
hakufai 1.0	h a k u f a i
hakufanikiwa 1.0	h a k u f a n i k i w a
hakufanya 1.0	h a k u f a n y a
hakuficha 1.0	h a k u f i CC a
hakufika 1.0	h a k u f i k a
hakufikisha 1.0	h a k u f i k i SS a
hakufuata 1.0	h a k u f u a t a
hakufunga 1.0	h a k u f u GG a
hakufurahia 1.0	h a k u f u r a h i a
hakufurahishwa 1.0	h a k u f u r a h i SS w a
hakugusia 1.0	h a k u g u s i a
hakuhitaji 1.0	h a k u h i t a j i
hakuhudhuria 1.0	h a k u h u LL u r i a
hakuhusiani 1.0	h a k u h u s i a n i
hakuhusika 1.0	h a k u h u s i k a
hakuhusishwa 1.0	h a k u h u s i SS w a
hakuingia 1.0	h a k u i GG i a
hakuishi 1.0	h a k u i SS i
hakuishia 1.0	h a k u i SS i a
hakuitaja 1.0	h a k u i t a j a
hakuitwa 1.0	h a k u i t w a
hakuja 1.0	h a k u j a
hakujali 1.0	h a k u j a l i
hakujaridhisha 1.0	h a k u j a r i LL i SS a
hakujawa 1.0	h a k u j a w a
hakujawahi 1.0	h a k u j a w a h i
hakujiandikisha 1.0	h a k u j i a DD i k i SS a
hakujibu 1.0	h a k u j i b u
hakujitokeza 1.0	h a k u j i t o k e z a
hakujua 1.0	h a k u j u a
hakujulikana 1.0	h a k u j u l i k a n a
hakukaa 1.0	h a k u k a a
hakukaliki 1.0	h a k u k a l i k i
hakukanusha 1.0	h a k u k a n u SS a
hakukata 1.0	h a k u k a t a
hakukidhi 1.0	h a k u k i LL i
hakukiri 1.0	h a k u k i r i
hakukitaja 1.0	h a k u k i t a j a
hakukosea 1.0	h a k u k o s e a
hakukua 1.0	h a k u k u a
hakukubali 1.0	h a k u k u b a l i
hakukubaliana 1.0	h a k u k u b a l i a n a
hakukumbuka 1.0	h a k u k u BB u k a
hakukurupuka 1.0	h a k u k u r u p u k a
hakukusudia 1.0	h a k u k u s u d i a
hakukutokea 1.0	h a k u k u t o k e a
hakukuwa 1.0	h a k u k u w a
hakukuwepo 1.0	h a k u k u w e p o
hakuleta 1.0	h a k u l e t a
hakuleti 1.0	h a k u l e t i
hakulipwa 1.0	h a k u l i p w a
hakulitaja 1.0	h a k u l i t a j a
hakumaanisha 1.0	h a k u m a a n i SS a
hakumaanishi 1.0	h a k u m a a n i SS i
hakumaliza 1.0	h a k u m a l i z a
hakumbuki 1.0	h a k u BB u k i
hakumkuta 1.0	h a k u m k u t a
hakumpa 1.0	h a k u m p a
hakumtaja 1.0	h a k u m t a j a
hakumuona 1.0	h a k u m u o n a
hakuna 1.0	h a k u n a
hakuogopa 1.0	h a k u o g o p a
hakuomba 1.0	h a k u o BB a
hakuona 1.0	h a k u o n a
hakuonekana 1.0	h a k u o n e k a n a
hakuonekani 1.0	h a k u o n e k a n i
hakuonesha 1.0	h a k u o n e SS a
hakuonyesha 1.0	h a k u o n y e SS a
hakupaswa 1.0	h a k u p a s w a
hakupaswi 1.0	h a k u p a s w i
hakupata 1.0	h a k u p a t a
hakupatikana 1.0	h a k u p a t i k a n a
hakupenda 1.0	h a k u p e DD a
hakupendezwa 1.0	h a k u p e DD e z w a
hakupewa 1.0	h a k u p e w a
hakupiga 1.0	h a k u p i g a
hakupinga 1.0	h a k u p i GG a
hakupita 1.0	h a k u p i t a
hakupitishwa 1.0	h a k u p i t i SS w a
hakupokea 1.0	h a k u p o k e a
hakupoteza 1.0	h a k u p o t e z a
hakurejea 1.0	h a k u r e j e a
hakuridhika 1.0	h a k u r i LL i k a
hakuridhishwa 1.0	h a k u r i LL i SS w a
hakurudi 1.0	h a k u r u d i
hakurudisha 1.0	h a k u r u d i SS a
hakuruhusiwa 1.0	h a k u r u h u s i w a
hakusaidii 1.0	h a k u s a i d i i
hakusaini 1.0	h a k u s a i n i
hakusema 1.0	h a k u s e m a
hakushangazwa 1.0	h a k u SS a GG a z w a
hakushinda 1.0	h a k u SS i DD a
hakushiriki 1.0	h a k u SS i r i k i
hakushirikishwa 1.0	h a k u SS i r i k i SS w a
hakusikia 1.0	h a k u s i k i a
hakusimama 1.0	h a k u s i m a m a
hakusita 1.0	h a k u s i t a
hakusoma 1.0	h a k u s o m a
hakustahili 1.0	h a k u s t a h i l i
hakusubiri 1.0	h a k u s u b i r i
hakusudii 1.0	h a k u s u d i i
hakutaathiri 1.0	h a k u t a a TT i r i
hakutaja 1.0	h a k u t a j a
hakutajwa 1.0	h a k u t a j w a
hakutaka 1.0	h a k u t a k a
hakutakiwa 1.0	h a k u t a k i w a
hakutakuwa 1.0	h a k u t a k u w a
hakutakuwepo 1.0	h a k u t a k u w e p o
hakutaleta 1.0	h a k u t a l e t a
hakutarajia 1.0	h a k u t a r a j i a
hakutasaidia 1.0	h a k u t a s a i d i a
hakutegemea 1.0	h a k u t e g e m e a
hakutekeleza 1.0	h a k u t e k e l e z a
hakutenda 1.0	h a k u t e DD a
hakutendewa 1.0	h a k u t e DD e w a
hakutetereka 1.0	h a k u t e t e r e k a
hakuteuliwa 1.0	h a k u t e u l i w a
hakuthubutu 1.0	h a k u TT u b u t u
hakutimiza 1.0	h a k u t i m i z a
hakutoa 1.0	h a k u t o a
hakutoka 1.0	h a k u t o k a
hakutokani 1.0	h a k u t o k a n i
hakutokea 1.0	h a k u t o k e a
hakutokei 1.0	h a k u t o k e i
hakutoshi 1.0	h a k u t o SS i
hakutumia 1.0	h a k u t u m i a
hakututendea 1.0	h a k u t u t e DD e a
hakuumia 1.0	h a k u u m i a
hakuwa 1.0	h a k u w a
hakuwahi 1.0	h a k u w a h i
hakuwapa 1.0	h a k u w a p a
hakuwapo 1.0	h a k u w a p o
hakuwataja 1.0	h a k u w a t a j a
hakuwatendea 1.0	h a k u w a t e DD e a
hakuweka 1.0	h a k u w e k a
hakuwemo 1.0	h a k u w e m o
hakuwepo 1.0	h a k u w e p o
hakuweza 1.0	h a k u w e z a
hakuwezi 1.0	h a k u w e z i
hakuyataja 1.0	h a k u y a t a j a
hakuzingatia 1.0	h a k u z i GG a t i a
hakuzitaja 1.0	h a k u z i t a j a
hakuzuii 1.0	h a k u z u i i
hakuzungumza 1.0	h a k u z u GG u m z a
hakuzungumzia 1.0	h a k u z u GG u m z i a
hakwenda 1.0	h a k w e DD a
halafu 1.0	h a l a f u
halaiki 1.0	h a l a i k i
halali 1.0	h a l a l i
halamashauri 1.0	h a l a m a SS a u r i
halamshauri 1.0	h a l a m SS a u r i
halazimiki 1.0	h a l a z i m i k i
halazimishwi 1.0	h a l a z i m i SS w i
hale 1.0	h a l e
haleluya 1.0	h a l e l u y a
half 1.0	h a l f
half(2) 1.0	h a f
half(3) 1.0	e j e e l e f
half(4) 1.0	h a l f u
halfa 1.0	h a l f a
halfan 1.0	h a l f a n
halfan(4) 1.0	h a l f a n i
halfani 1.0	h a l f a n i
hali 1.0	h a l i
halid 1.0	h a l i d
halid(4) 1.0	h a l i d i
haliendani 1.0	h a l i e DD a n i
haliendi 1.0	h a l i e DD i
haliepukiki 1.0	h a l i e p u k i k i
halifa 1.0	h a l i f a
halifa(2) 1.0	h e l i f e
halifai 1.0	h a l i f a i
halifanyi 1.0	h a l i f a n y i
halifanyiki 1.0	h a l i f a n y i k i
halihalisi 1.0	h a l i h a l i s i
halihitaji 1.0	h a l i h i t a j i
halihusiani 1.0	h a l i h u s i a n i
halihusiki 1.0	h a l i h u s i k i
halihusu 1.0	h a l i h u s u
haliingii 1.0	h a l i i GG i i
haliishii 1.0	h a l i i SS i i
halijaanza 1.0	h a l i j a a ZZ a
halijafahamika 1.0	h a l i j a f a h a m i k a
halijafanya 1.0	h a l i j a f a n y a
halijafanyika 1.0	h a l i j a f a n y i k a
halijafanyiwa 1.0	h a l i j a f a n y i w a
halijafika 1.0	h a l i j a f i k a
halijafikia 1.0	h a l i j a f i k i a
halijafikishwa 1.0	h a l i j a f i k i SS w a
halijafikiwa 1.0	h a l i j a f i k i w a
halijaingia 1.0	h a l i j a i GG i a
halijaisha 1.0	h a l i j a i SS a
halijakaa 1.0	h a l i j a k a a
halijakamilika 1.0	h a l i j a k a m i l i k a
halijamalizika 1.0	h a l i j a m a l i z i k a
halijapata 1.0	h a l i j a p a t a
halijapatikana 1.0	h a l i j a p a t i k a n a
halijapatiwa 1.0	h a l i j a p a t i w a
halijapewa 1.0	h a l i j a p e w a
halijasajiliwa 1.0	h a l i j a s a j i l i w a
halijatekelezwa 1.0	h a l i j a t e k e l e z w a
halijatoa 1.0	h a l i j a t o a
halijatokea 1.0	h a l i j a t o k e a
halijatolewa 1.0	h a l i j a t o l e w a
halijatua 1.0	h a l i j a t u a
halijawa 1.0	h a l i j a w a
halijawahi 1.0	h a l i j a w a h i
halijawekwa 1.0	h a l i j a w e k w a
halijaweza 1.0	h a l i j a w e z a
halijitokezi 1.0	h a l i j i t o k e z i
halijui 1.0	h a l i j u i
halijulikani 1.0	h a l i j u l i k a n i
halikadhalika 1.0	h a l i k a LL a l i k a
halikidhi 1.0	h a l i k i LL i
haliko 1.0	h a l i k o
halikuanza 1.0	h a l i k u a ZZ a
halikubaliani 1.0	h a l i k u b a l i a n i
halikubaliki 1.0	h a l i k u b a l i k i
halikufahamika 1.0	h a l i k u f a h a m i k a
halikufanikiwa 1.0	h a l i k u f a n i k i w a
halikufanyika 1.0	h a l i k u f a n y i k a
halikujadiliwa 1.0	h a l i k u j a d i l i w a
halikupaswa 1.0	h a l i k u p a s w a
halikupata 1.0	h a l i k u p a t a
halikupatikana 1.0	h a l i k u p a t i k a n a
halikupewa 1.0	h a l i k u p e w a
halikutajwa 1.0	h a l i k u t a j w a
halikutarajiwa 1.0	h a l i k u t a r a j i w a
halikutekelezwa 1.0	h a l i k u t e k e l e z w a
halikutokea 1.0	h a l i k u t o k e a
halikuwa 1.0	h a l i k u w a
halikuwahi 1.0	h a l i k u w a h i
halikuwapo 1.0	h a l i k u w a p o
halikuwekwa 1.0	h a l i k u w e k w a
halikuwepo 1.0	h a l i k u w e p o
halikuweza 1.0	h a l i k u w e z a
halikuwezekana 1.0	h a l i k u w e z e k a n a
halikuzingatia 1.0	h a l i k u z i GG a t i a
halikwepeki 1.0	h a l i k w e p e k i
halileti 1.0	h a l i l e t i
halilhodzic 1.0	h a l i l h o d z i k
halilhodzic(4) 1.0	h a l i l h o d z i k i
halima 1.0	h a l i m a
halima(2) 1.0	h e l i m e
halimaanishi 1.0	h a l i m a a n i SS i
halimashauri 1.0	h a l i m a SS a u r i
halimhusu 1.0	h a l i m h u s u
halimo 1.0	h a l i m o
halimtishi 1.0	h a l i m t i SS i
halina 1.0	h a l i n a
halionekani 1.0	h a l i o n e k a n i
halioni 1.0	h a l i o n i
halionyeshi 1.0	h a l i o n y e SS i
halipaswi 1.0	h a l i p a s w i
halipati 1.0	h a l i p a t i
halipendezi 1.0	h a l i p e DD e z i
halipewi 1.0	h a l i p e w i
halipingiki 1.0	h a l i p i GG i k i
halipo 1.0	h a l i p o
halipwi 1.0	h a l i p w i
haliruhusiwi 1.0	h a l i r u h u s i w i
halisaidii 1.0	h a l i s a i d i i
halisi 1.0	h a l i s i
halisia 1.0	h a l i s i a
halisikii 1.0	h a l i s i k i i
halistahili 1.0	h a l i s t a h i l i
halitafanyika 1.0	h a l i t a f a n y i k a
halitaki 1.0	h a l i t a k i
halitakiwi 1.0	h a l i t a k i w i
halitakuwa 1.0	h a l i t a k u w a
halitakuwepo 1.0	h a l i t a k u w e p o
halitambui 1.0	h a l i t a BB u i
halitapatiwa 1.0	h a l i t a p a t i w a
halitasita 1.0	h a l i t a s i t a
halitatokea 1.0	h a l i t a t o k e a
halitaweza 1.0	h a l i t a w e z a
halitawezekana 1.0	h a l i t a w e z e k a n a
halitekelezeki 1.0	h a l i t e k e l e z e k i
halitoi 1.0	h a l i t o i
halitokani 1.0	h a l i t o k a n i
halitokei 1.0	h a l i t o k e i
halitoshelezi 1.0	h a l i t o SS e l e z i
halitoshi 1.0	h a l i t o SS i
halitumiki 1.0	h a l i t u m i k i
haliwahusu 1.0	h a l i w a h u s u
haliwezekani 1.0	h a l i w e z e k a n i
haliwezi 1.0	h a l i w e z i
hall 1.0	h a l l
hall(2) 1.0	h o l
hall(3) 1.0	e j e e l e l
hall(4) 1.0	h a l l i
halle 1.0	h a l l e
halle(2) 1.0	h a l
halliche 1.0	h a l l i CC e
hallow 1.0	h a l l o w
hallow(2) 1.0	h a l o
halmashari 1.0	h a l m a SS a r i
halmashauri 1.0	h a l m a SS a u r i
halmashuri 1.0	h a l m a SS u r i
halmshauri 1.0	h a l m SS a u r i
halua 1.0	h a l u a
ham 1.0	h a m
ham(2) 1.0	h a m
ham(4) 1.0	h a m u
hama 1.0	h a m a
hamad 1.0	h a m a d
hamad(2) 1.0	h a m e d
hamad(4) 1.0	h a m a d i
hamada 1.0	h a m a d a
hamada(2) 1.0	h a m a d e
hamadi 1.0	h a m a d i
hamadi(2) 1.0	h e m a d i
hamaki 1.0	h a m a k i
hamas 1.0	h a m a s
hamas(2) 1.0	h a m a s
hamas(4) 1.0	h a m a s i
hamasa 1.0	h a m a s a
hamburg 1.0	h a BB u r g
hamburg(2) 1.0	h a m b e r g
hamburg(4) 1.0	h a BB u r g i
hamchoki 1.0	h a m CC o k i
hamdan 1.0	h a m d a n
hamdan(2) 1.0	h a m d e n
hamdan(4) 1.0	h a m d a n i
hamdani 1.0	h a m d a n i
hamdaoui 1.0	h a m d a o u i
hamed 1.0	h a m e d
hamed(2) 1.0	h a m d
hamed(4) 1.0	h a m e d i
hamfahamu 1.0	h a m f a h a m u
hamid 1.0	h a m i d
hamid(2) 1.0	h e m i d
hamid(4) 1.0	h a m i d i
hamida 1.0	h a m i d a
hamidu 1.0	h a m i d u
hamiliki 1.0	h a m i l i k i
hamilton 1.0	h a m i l t o n
hamilton(2) 1.0	h a m e l t e n
hamilton(4) 1.0	h a m i l t o n i
hamimu 1.0	h a m i m u
hamira 1.0	h a m i r a
hamis 1.0	h a m i s
hamis(4) 1.0	h a m i s i
hamisa 1.0	h a m i s a
hamisha 1.0	h a m i SS a
hamisi 1.0	h a m i s i
hamjambo 1.0	h a m j a BB o
hamjaona 1.0	h a m j a o n a
hamjasikia 1.0	h a m j a s i k i a
hamjawahi 1.0	h a m j a w a h i
hamjui 1.0	h a m j u i
hamka 1.0	h a m k a
hamkani 1.0	h a m k a n i
hamkawii 1.0	h a m k a w i i
hamko 1.0	h a m k o
hamkumbuki 1.0	h a m k u BB u k i
hamkusikia 1.0	h a m k u s i k i a
hammer 1.0	h a m m e r
hammer(2) 1.0	h a m e r
hammer(4) 1.0	h a m m e r i
hammie 1.0	h a m m i e
hammy 1.0	h a m m y
hamna 1.0	h a m n a
hamnazo 1.0	h a m n a z o
hamoud 1.0	h a m o u d
hamoud(4) 1.0	h a m o u d i
hampendi 1.0	h a m p e DD i
hampi 1.0	h a m p i
hampshire 1.0	h a m p SS i r e
hampshire(2) 1.0	h a m p SS e r
hamsa 1.0	h a m s a
hamsini 1.0	h a m s i n i
hamtaki 1.0	h a m t a k i
hamtakiwi 1.0	h a m t a k i w i
hamtakuwa 1.0	h a m t a k u w a
hamtambui 1.0	h a m t a BB u i
hamtaweza 1.0	h a m t a w e z a
hamu 1.0	h a m u
hamuamini 1.0	h a m u a m i n i
hamuelewi 1.0	h a m u e l e w i
hamuoni 1.0	h a m u o n i
hamuwezi 1.0	h a m u w e z i
hamwezi 1.0	h a m w e z i
hamwoni 1.0	h a m w o n i
hamza 1.0	h a m z a
hana 1.0	h a n a
hananasif 1.0	h a n a n a s i f
hananasif(4) 1.0	h a n a n a s i f u
hanang 1.0	h a n a GG
hanang(4) 1.0	h a n a GG i
hanangg 1.0	h a n a NN
hanangg(4) 1.0	h a n a NN i
hand 1.0	h a DD
hand(2) 1.0	h a n d
hand(4) 1.0	h a DD i
handaki 1.0	h a DD a k i
handeni 1.0	h a DD e n i
handicap 1.0	h a DD i k a p
handicap(2) 1.0	h a n d i k a p
handicap(4) 1.0	h a DD i k a p u
hands 1.0	h a DD s
hands(2) 1.0	h a n d z
hands(4) 1.0	h a DD s i
handsome 1.0	h a DD s o m e
handsome(2) 1.0	h a n s e m
hanga 1.0	h a GG a
hangeweza 1.0	h a GG e w e z a
hango 1.0	h a GG o
hani 1.0	h a n i
hanifa 1.0	h a n i f a
haniya 1.0	h a n i y a
hannington 1.0	h a n n i GG t o n
hannington(4) 1.0	h a n n i GG t o n i
hans 1.0	h a n s
hans(2) 1.0	h a n s
hans(3) 1.0	e j e e n e s
hans(4) 1.0	h a n s i
hansard 1.0	h a n s a r d
hansard(2) 1.0	h a n s e r d
hansard(4) 1.0	h a n s a r d i
hansen 1.0	h a n s e n
hansen(2) 1.0	h a n s e n
hansen(4) 1.0	h a n s e n i
hanspope 1.0	h a n s p o p e
hanzuruni 1.0	h a ZZ u r u n i
hao 1.0	h a o
haoa 1.0	h a o a
haogopi 1.0	h a o g o p i
haohao 1.0	h a o h a o
haombi 1.0	h a o BB i
haondoki 1.0	h a o DD o k i
haonekani 1.0	h a o n e k a n i
haongei 1.0	h a o GG e i
haoni 1.0	h a o n i
haonyeshi 1.0	h a o n y e SS i
hapa 1.0	h a p a
hapafai 1.0	h a p a f a i
hapahapa 1.0	h a p a h a p a
hapakaliki 1.0	h a p a k a l i k i
hapakosi 1.0	h a p a k o s i
hapakuwa 1.0	h a p a k u w a
hapakuwapo 1.0	h a p a k u w a p o
hapakuwepo 1.0	h a p a k u w e p o
hapana 1.0	h a p a n a
hapaswi 1.0	h a p a s w i
hapatakuwa 1.0	h a p a t a k u w a
hapatatosha 1.0	h a p a t a t o SS a
hapati 1.0	h a p a t i
hapatikani 1.0	h a p a t i k a n i
hapatoshi 1.0	h a p a t o SS i
hapendi 1.0	h a p e DD i
hapendwi 1.0	h a p e DD w i
hapewi 1.0	h a p e w i
hapingani 1.0	h a p i GG a n i
hapingi 1.0	h a p i GG i
hapo 1.0	h a p o
hapoel 1.0	h a p o e l
hapoel(4) 1.0	h a p o e l i
hapohapo 1.0	h a p o h a p o
hapokei 1.0	h a p o k e i
hapotezi 1.0	h a p o t e z i
happines 1.0	h a p p i n e s
happines(4) 1.0	h a p p i n e s i
happiness 1.0	h a p p i n e s s
happiness(2) 1.0	h a p i n e s
happiness(4) 1.0	h a p p i n e s s i
happy 1.0	h a p p y
happy(2) 1.0	h a p i
hara 1.0	h a r a
harafu 1.0	h a r a f u
haraka 1.0	h a r a k a
harakaharaka 1.0	h a r a k a h a r a k a
harakati 1.0	h a r a k a t i
haram 1.0	h a r a m
haram(4) 1.0	h a r a m u
haramain 1.0	h a r a m a i n
haramain(4) 1.0	h a r a m a i n i
harambee 1.0	h a r a BB e e
haramia 1.0	h a r a m i a
haramu 1.0	h a r a m u
harara 1.0	h a r a r a
harare 1.0	h a r a r e
harare(2) 1.0	h e r a r i
haras 1.0	h a r a s
haras(4) 1.0	h a r a s i
harbour 1.0	h a r b o u r
harbour(2) 1.0	h a r b e r
harbour(4) 1.0	h a r b o u r i
harbours 1.0	h a r b o u r s
harbours(4) 1.0	h a r b o u r s i
harcourt 1.0	h a r k o u r t
harcourt(2) 1.0	h a r k o r t
harcourt(4) 1.0	h a r k o u r t i
hard 1.0	h a r d
hard(2) 1.0	h a r d
hard(3) 1.0	e j e a r d i
hard(4) 1.0	h a r d i
hardmad 1.0	h a r d m a d
hardmad(4) 1.0	h a r d m a d i
harebottle 1.0	h a r e b o t t l e
hargreaves 1.0	h a r g r e a v e s
hargreaves(2) 1.0	h a r g r i v z
hargreaves(4) 1.0	h a r g r e a v e s i
hari 1.0	h a r i
haribifu 1.0	h a r i b i f u
haridhiki 1.0	h a r i LL i k i
haridhishwi 1.0	h a r i LL i SS w i
hariri 1.0	h a r i r i
hariri(2) 1.0	h e r i r i
harison 1.0	h a r i s o n
harison(4) 1.0	h a r i s o n i
harisson 1.0	h a r i s s o n
harisson(4) 1.0	h a r i s s o n i
harith 1.0	h a r i TT
harith(4) 1.0	h a r i TT i
harmony 1.0	h a r m o n y
harmony(2) 1.0	h a r m e n i
harold 1.0	h a r o l d
harold(2) 1.0	h e r e l d
harold(4) 1.0	h a r o l d i
haroon 1.0	h a r o o n
haroon(4) 1.0	h a r o o n i
haroub 1.0	h a r o u b
haroub(4) 1.0	h a r o u b u
haroun 1.0	h a r o u n
haroun(4) 1.0	h a r o u n i
harper 1.0	h a r p e r
harper(2) 1.0	h a r p e r
harper(4) 1.0	h a r p e r i
harriet 1.0	h a r r i e t
harriet(2) 1.0	h e r i e t
harriet(4) 1.0	h a r r i e t i
harrieth 1.0	h a r r i e TT
harrieth(4) 1.0	h a r r i e TT i
harris 1.0	h a r r i s
harris(2) 1.0	h e r i s
harris(4) 1.0	h a r r i s i
harrison 1.0	h a r r i s o n
harrison(2) 1.0	h e r i s e n
harrison(4) 1.0	h a r r i s o n i
harry 1.0	h a r r y
harry(2) 1.0	h e r i
hart 1.0	h a r t
hart(2) 1.0	h a r t
hart(3) 1.0	e j e a r t i
hart(4) 1.0	h a r t i
harudi 1.0	h a r u d i
harufu 1.0	h a r u f u
haruhusiwi 1.0	h a r u h u s i w i
harun 1.0	h a r u n
harun(4) 1.0	h a r u n i
haruna 1.0	h a r u n a
haruni 1.0	h a r u n i
harusi 1.0	h a r u s i
harusini 1.0	h a r u s i n i
harvard 1.0	h a r v a r d
harvard(2) 1.0	h a r v e r d
harvard(4) 1.0	h a r v a r d i
harvey 1.0	h a r v e y
harvey(2) 1.0	h a r v i
has 1.0	h a s
has(2) 1.0	h a z
has(4) 1.0	h a s i
hasa 1.0	h a s a
hasahau 1.0	h a s a h a u
hasan 1.0	h a s a n
hasan(2) 1.0	h e y z e n
hasan(4) 1.0	h a s a n i
hasanali 1.0	h a s a n a l i
hasani 1.0	h a s a n i
hasanoo 1.0	h a s a n o o
hasara 1.0	h a s a r a
hasemi 1.0	h a s e m i
hasha 1.0	h a SS a
hashangai 1.0	h a SS a GG a i
hashangazwi 1.0	h a SS a GG a z w i
hasheem 1.0	h a SS e e m
hasheem(4) 1.0	h a SS e e m u
hashem 1.0	h a SS e m
hashem(2) 1.0	h a SS i m
hashem(4) 1.0	h a SS e m u
hashi 1.0	h a SS i
hashi(2) 1.0	h a SS i
hashim 1.0	h a SS i m
hashim(2) 1.0	h a SS i m
hashim(4) 1.0	h a SS i m u
hashimu 1.0	h a SS i m u
hashindi 1.0	h a SS i DD i
hashiriki 1.0	h a SS i r i k i
hasi 1.0	h a s i
hasidi 1.0	h a s i d i
hasikii 1.0	h a s i k i i
hasikiki 1.0	h a s i k i k i
hasimu 1.0	h a s i m u
hasira 1.0	h a s i r a
hasiti 1.0	h a s i t i
hasna 1.0	h a s n a
hasnain 1.0	h a s n a i n
hasnain(4) 1.0	h a s n a i n i
hasomi 1.0	h a s o m i
hassan 1.0	h a s s a n
hassan(2) 1.0	h e s a n
hassan(4) 1.0	h a s s a n i
hassanal 1.0	h a s s a n a l
hassanal(4) 1.0	h a s s a n a l i
hassanali 1.0	h a s s a n a l i
hassani 1.0	h a s s a n i
hassanol 1.0	h a s s a n o l
hassanol(4) 1.0	h a s s a n o l i
